Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
190645:2486,101,630175.470728,[10-110],550839.880157
190646:2486,111,643450.741613,[1-111],560237.576238
190659:2488,135,2213989.66159,[33-167],2173237.86943
190679:2489,55,882343.548028,[1-55],816974.949066
190688:2490,181,4432173.18412,[69-249],4196665.06129
190702:2491,117,6323350.4414,"[51-53], [55-122], [124-169]",5540967.44638
190703:2491,252,12229478.6885,[1-252],11456275.3265
190704:2491,3,135182.400769,[1-3],28861.466475
190705:2491,364,14706167.8355,"[1-5], [7-65], [81-336], [338-350], [353-383]",14278396.0364
190706:2491,126,4402860.27552,[1-126],4221792.07714
190707:2491,256,8123733.55907,"[1-237], [239-257]",7870580.2708
190708:2491,189,5283885.97565,[1-189],5112585.74245
190733:2493,386,19653794.2842,"[71-96], [99-389], [392-460]",19131604.3203
190736:2493,183,7935067.22147,"[1-80], [83-185]",7629198.80072
190738:2493,351,13114364.5137,"[1-130], [133-226], [229-355]",12835980.9303
190782:2497,350,19128011.711,"[55-181], [184-233], [236-399], [401-409]",18731765.1195
190895:2500,874,36920145.8435,"[64-202], [210-302], [305-584], [587-948]",36312549.7628
190906:2501,421,20025739.524,"[73-256], [259-354], [356-496]",19662544.6738
190945:2505,84,4466195.88828,[124-207],4309178.32568
190949:2505,81,3387714.7613,[1-81],3119634.18084
191043:2508,3,210806.781722,[45-47],60751.2140618
191046:2508,228,14532895.9297,"[1-21], [24-82], [84-88], [92-116], [119-180], [183-183], [185-239]",13601864.9986
191056:2508,10,588707.78219,"[1-1], [4-9], [16-17], [19-19]",259775.4874
191057:2508,61,3495375.37368,"[1-1], [4-55], [58-65]",3356001.24131
191062:2508,546,26657158.4832,"[1-1], [3-3], [5-214], [216-549]",26258535.7234
191090:2509,55,2004810.15136,[1-55],1814120.3958
191201:2511,40,3479286.51816,"[38-49], [52-79]",3345879.91639
191202:2511,97,7597073.63238,"[1-64], [66-68], [87-105], [108-118]",7081187.44689
191226:2513,1602,95064504.1133,"[77-78], [81-831], [833-1454], [1456-1466], [1469-1507], [1510-1686]",93580664.0454
191247:2514,1204,72147756.5873,"[1-153], [156-280], [283-606], [608-620], [622-818], [821-834], [837-1031], [1034-1046], [1049-1140], [1143-1187], [1190-1214], [1217-1224]",70346729.2989
191248:2514,103,4566401.80157,[1-103],4405492.2136
191264:2515,127,11524567.2918,"[59-79], [82-152], [155-189]",11261212.2488
191271:2516,307,26817926.1714,"[56-223], [225-363]",26457210.0382
191276:2516,16,1239746.73129,[1-16],937855.798261
191277:2516,837,54491345.4092,"[1-28], [30-164], [167-253], [255-457], [460-535], [537-576], [579-775], [778-811], [813-849]",53306805.3936
191367:2520,2,994.268338671,[1-2],984.249470053
191411:2523,23,1217.78136483,[1-23],1194.70758534
191695:2533,1,106693.154036,[1-1],13045.37067
191718:2534,163,16914474.4145,"[43-95], [98-207]",16666534.9859
191720:2534,179,13898680.7952,"[1-1], [3-15], [17-181]",12535458.3037
191721:2534,185,10682142.8392,"[1-1], [3-34], [36-183], [186-189]",10467166.5606
191726:2534,13,619706.864849,[1-13],512454.358962
191810:2535,70,7884048.17052,"[15-15], [22-49], [52-92]",7698247.42954
191830:2536,336,38475156.0434,"[54-242], [245-301], [304-393]",37533096.7709
191833:2536,102,9913729.28413,"[1-1], [3-103]",9526694.56842
191834:2536,346,30173877.2026,"[1-30], [33-74], [77-299], [302-352]",29531356.883
191837:2536,61,4780627.56182,"[1-44], [47-53], [56-65]",4432722.73599
191856:2536,133,9045890.84993,[1-133],8630086.70847
191859:2536,124,7589813.85202,"[1-28], [31-126]",7373945.94639
193093:2576,33,87506.4948943,[1-33],73804.4739317
193123:2580,27,557127.536104,[1-27],543352.264374
193124:2580,52,1048980.63008,[1-52],1040242.44173
193192:2583,29,1737724.29888,[58-86],1702462.56748
193193:2583,497,24351536.6463,"[1-6], [8-8], [11-83], [86-120], [122-160], [162-274], [276-495], [497-506]",23813975.8189
193207:2584,129,6855074.68746,[54-182],6768447.44934
193334:2587,144,9040809.98937,[29-172],8915688.44013
193336:2587,943,43512646.0637,"[1-264], [267-492], [495-684], [687-729], [732-951]",43134149.1347
193541:2590,538,27152758.8561,"[77-101], [103-413], [416-575], [578-619]",26573231.3883
193556:2591,43,3305302.14515,[41-83],3218737.44508
193557:2591,84,5645218.77173,[1-84],5582100.48754
193575:2593,698,40617574.7651,"[48-173], [176-349], [351-394], [397-415], [417-658], [660-752]",40028775.8448
193621:2596,1584,90721908.0873,"[60-570], [573-769], [772-976], [979-1053], [1056-1137], [1139-1193], [1195-1371], [1373-1654]",89675537.5765
193834:2605,35,997218.863452,[1-35],988082.555479
193835:2605,25,692964.24248,"[1-20], [22-26]",648533.50717
193836:2605,2,54625.1312344,[1-2],53583.3623746
193998:2616,212,19476419.5777,"[66-113], [115-278]",19188740.1972
193999:2616,50,3643524.09682,[1-50],3610680.23141
194027:2617,63,5587252.88342,[53-115],5497091.3377
194050:2621,1801,112058660.95,"[53-113], [116-273], [275-355], [357-369], [372-391], [394-490], [492-814], [816-1435], [1437-1735], [1760-1888]",110382865.035
194051:2621,12,500654.574946,[1-12],489242.725699
194052:2621,164,6637340.98939,"[1-99], [102-166]",6582577.34145
194075:2623,63,5900341.95182,"[48-101], [103-111]",4910561.57885
194076:2623,734,54601984.6928,"[1-9], [11-55], [58-163], [165-228], [230-264], [267-507], [509-527], [530-538], [541-562], [565-748]",54115005.9571
194108:2624,781,62451566.9485,"[81-161], [164-264], [266-373], [376-396], [398-433], [436-452], [454-577], [579-590], [593-668], [671-875]",61658168.055
194115:2627,700,55058560.5422,"[66-184], [186-338], [340-346], [348-493], [496-731], [819-857]",53347771.2651
194117:2627,38,2316833.27387,[1-38],2276835.42494
194119:2627,259,14799371.9966,"[1-229], [232-261]",14693967.2178
194120:2627,404,19395594.8621,"[1-162], [165-406]",19262514.8593
194150:2628,267,27077463.5855,"[42-127], [129-261], [264-311]",26673320.2324
194151:2628,574,41587843.9295,"[47-72], [75-191], [193-238], [240-619], [621-624], [627-627]",40788353.4086
194153:2628,119,7075602.23499,[1-119],6994462.03611
194199:2629,308,27633165.8518,"[92-227], [229-336], [339-402]",27230008.3767
194210:2629,548,39250991.1572,"[3-195], [198-217], [220-359], [361-555]",38925076.7155
194223:2630,52,6452162.41631,[61-112],6159871.33166
194224:2630,403,42862046.04,"[1-126], [129-206], [208-250], [253-309], [312-386], [389-412]",42184815.0728
194225:2630,153,12869362.4055,"[1-23], [26-47], [49-85], [88-156], [177-178]",12740084.6595
194270:2632,18,1451182.59015,[56-73],1428510.33116
194303:2634,45,5275675.14914,"[56-66], [69-102]",5054666.75047
194304:2634,44,4938099.70161,"[1-43], [46-46]",4798473.90957
194305:2634,86,8765432.39431,[1-86],8578147.39481
194314:2635,248,28836897.3938,"[52-130], [133-301]",28128957.8631
194315:2635,459,42206114.4986,"[1-10], [13-314], [317-428], [431-452], [455-467]",41674541.0281
194317:2635,33,1543310.40746,[1-33],1465884.78313
194424:2644,633,68005174.4678,"[63-141], [144-195], [198-266], [268-421], [424-478], [481-531], [534-553], [556-708]",66676430.7713
194428:2644,461,36324988.2575,"[1-85], [87-122], [125-294], [296-465]",35990471.0547
194429:2644,1013,56616797.5456,"[1-4], [7-54], [57-147], [150-411], [413-742], [745-986], [988-1023]",56208076.9488
194439:2645,60,8126238.58368,"[46-77], [79-106]",7776547.98248
194455:2646,219,27802052.2991,"[45-64], [67-140], [142-255], [293-303]",27078470.5511
194464:2646,206,22252316.4611,"[1-127], [130-142], [145-210]",21855101.0594
194479:2646,435,37141890.9763,"[1-44], [165-232], [235-262], [265-374], [377-431], [434-489], [492-529], [531-566]",36722366.3764
194480:2646,1386,81627328.3588,"[1-8], [17-32], [34-205], [207-375], [377-387], [389-759], [762-956], [959-1402]",81030465.2214
194533:2648,823,77582107.6279,"[46-379], [382-415], [417-618], [620-872]",76617146.9463
194619:2649,80,10158183.9487,[31-110],9917198.46386
194631:2649,219,24575422.7189,"[1-42], [44-100], [102-169], [171-222]",23744746.6455
194643:2649,287,27918577.2984,[1-287],27443544.9412
194644:2649,418,33507394.0858,"[1-168], [171-181], [184-185], [187-319], [321-424]",33220036.717
194691:2651,241,29040703.3629,"[61-104], [107-155], [158-251], [254-268], [271-272], [275-289], [292-313]",28160228.3778
194699:2651,247,22886741.0254,"[1-30], [32-52], [55-64], [67-71], [73-154], [157-215], [218-238], [241-259]",22557026.3814
194702:2651,189,15688964.3524,"[1-138], [141-191]",15526046.8157
194704:2651,588,41251867.259,"[1-41], [44-545], [548-592]",40877778.1142
194711:2651,618,34468014.7761,"[1-7], [9-619]",34174758.7428
194712:2651,753,34067741.7667,"[1-56], [61-418], [420-625], [627-759]",33840181.2059
194735:2653,87,10234827.3762,"[44-71], [74-101], [104-130], [133-136]",9927073.02949
194778:2657,159,19469804.1467,"[60-118], [120-219]",18835338.6666
194789:2657,552,52739430.3156,"[1-18], [21-32], [34-80], [82-166], [168-269], [272-405], [409-414], [417-427], [430-566]",52083017.2807
194790:2657,45,3623643.04911,[1-45],3538586.49659
194825:2658,148,19406404.2283,"[72-117], [120-221]",18743080.7116
194896:2660,66,9019098.44094,"[34-55], [58-79], [82-103]",8553855.50848
194897:2660,105,12753342.105,"[1-6], [8-78], [80-107]",12300374.7904
194912:2663,1580,155206278.893,"[53-70], [72-96], [98-444], [446-450], [453-467], [470-561], [564-660], [663-813], [815-840], [843-864], [866-1004], [1007-1025], [1027-1067], [1069-1137], [1140-1166], [1168-1249], [1251-1304], [1307-1444], [1447-1487], [1489-1503], [1506-1662]",151953604.639
194914:2663,38,2475028.01354,[1-38],2438635.90664
194915:2663,74,4665217.47571,[1-74],4623813.56125
195013:2669,437,56397496.7998,"[94-144], [146-185], [187-206], [208-299], [302-324], [326-366], [369-447], [450-526], [528-541]",54760195.2527
195014:2669,145,15550807.5362,"[1-6], [9-119], [121-148]",15377974.708
195015:2669,13,1321119.70737,[1-13],1199879.12469
195016:2669,552,48739270.9565,"[1-21], [23-55], [58-63], [65-174], [177-184], [186-241], [243-246], [248-251], [254-367], [370-422], [425-560], [563-569]",48230193.6442
195099:2670,188,24558281.373,"[70-144], [147-186], [189-208], [211-224], [227-265]",23784695.8702
195109:2671,144,20243780.3064,[98-241],19597567.3846
195112:2671,24,2863484.28433,"[1-12], [15-26]",2451666.0652
195113:2671,569,58095408.4477,"[1-209], [212-388], [391-403], [406-419], [422-492], [495-579]",57163787.0302
195114:2671,101,8711606.24902,"[1-69], [72-103]",8558464.89144
195115:2671,34,1624031.33493,"[1-7], [10-36]",1605245.56589
195147:2673,419,53718471.9347,"[132-282], [285-294], [297-331], [334-363], [366-442], [445-536], [539-562]",52411946.5669
195163:2675,269,37023055.2571,"[72-138], [140-224], [227-240], [243-243], [246-347]",35768839.32
195164:2675,64,7954621.61699,[1-64],7781002.80486
195165:2675,268,28921608.8675,"[1-4], [7-41], [44-54], [56-153], [156-260], [263-277]",28434669.3664
195251:2683,243,31400463.819,"[1-131], [134-137], [140-152], [154-165], [167-249]",30543874.7119
195303:2686,295,39386478.1179,"[109-191], [194-277], [280-310], [312-316], [318-409]",37829397.4404
195304:2686,1206,108824617.129,"[1-3], [6-22], [27-80], [83-100], [103-154], [157-341], [344-588], [590-727], [729-1003], [1006-1079], [1083-1140], [1143-1229]",107741430.126
195378:2691,1029,100813412.21,"[90-117], [120-127], [130-185], [187-204], [206-302], [305-542], [544-565], [567-645], [647-701], [703-734], [737-1120], [1122-1133]",99614256.8343
195390:2691,399,20275676.1682,"[1-1], [4-27], [30-145], [147-183], [186-187], [190-208], [210-213], [215-410]",20151968.7498
195396:2692,79,11206892.0613,"[49-55], [58-63], [66-131]",10675715.3195
195397:2692,1188,118734908.214,"[1-10], [12-89], [92-120], [123-141], [143-251], [253-253], [256-475], [478-525], [527-608], [611-776], [779-970], [972-1121], [1123-1181], [1184-1198], [1200-1209]",117203510.862
195398:2692,1756,91465508.0408,"[3-137], [139-494], [497-585], [587-817], [820-824], [827-1225], [1228-1307], [1309-1712], [1721-1736], [1741-1752], [1767-1795]",90661846.6106
195399:2692,392,13474224.9499,"[1-192], [194-382], [384-394]",13349240.5696
195530:2698,399,47005334.9721,"[1-80], [82-104], [107-156], [159-300], [302-405]",46298098.313
195540:2700,250,32695953.769,"[68-123], [126-137], [140-283], [286-323]",31942847.0696
195551:2701,16,2283440.50813,[91-106],1996613.75276
195552:2701,1766,156332977.153,"[1-21], [23-27], [30-147], [149-155], [158-182], [185-287], [290-349], [352-469], [472-815], [818-823], [825-883], [885-1152], [1154-1300], [1303-1391], [1394-1789]",154457498.262
195633:2710,3,463221.592858,[40-42],334085.520762
195647:2710,41,5354564.52637,[1-41],5227552.96397
195649:2710,242,28905299.8566,"[1-69], [72-151], [154-181], [183-247]",28417206.4595
195655:2710,490,47209331.226,"[1-129], [131-184], [186-260], [263-350], [353-446], [448-483], [485-498]",46643761.4654
195656:2710,362,28909250.5302,[1-362],28683645.0128
195658:2710,382,24812102.3113,"[1-37], [40-362], [364-382], [384-386]",24531920.2406
195749:2711,128,17853465.0591,"[1-8], [10-33], [36-131]",17045909.224
195757:2711,201,25155257.9401,"[1-82], [85-115], [118-161], [163-206]",23901102.0188
195758:2711,18,2111511.40538,[1-18],2025709.8585
195774:2712,815,97332798.0698,"[1-13], [16-137], [139-151], [154-162], [164-256], [258-276], [279-362], [365-466], [469-618], [620-649], [651-830]",95473858.0324
195775:2712,166,14007339.0515,"[1-57], [60-100], [103-170]",13788857.066
195776:2712,469,34423343.55,"[1-63], [66-283], [286-337], [340-399], [401-409], [411-477]",34138938.9412
195841:2713,17,1723982.45296,[74-90],1575315.25279
195868:2714,202,26467562.3794,"[1-88], [90-107], [110-205]",25757888.1867
