Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
160431:1615,197,90.951193312,[19-215],90.9510784948
160577:1622,53,612.544927798,[254-306],579.862184549
160578:1622,175,1831.75122518,"[6-53], [274-400]",1738.43015663
160871:1636,141,5630.39505918,[68-208],3400.19739412
160872:1636,38,9461.99645794,"[1-9], [25-35], [38-55]",5328.33404338
160873:1636,133,12232.9790726,[1-133],10993.0422368
160874:1636,68,11474.0020663,"[1-51], [97-113]",8828.36431762
160939:1639,123,149382.482662,[1-123],146014.792466
160940:1639,79,92508.8491841,[1-79],89100.7173119
160942:1639,12,13715.276615,[1-12],11896.6193066
160943:1639,54,60333.0822428,[1-54],58090.3307506
160955:1640,197,669945.385658,"[1-130], [133-138], [140-151], [153-154], [156-172], [175-201], [204-206]",408448.653333
160956:1640,64,203050.625574,[2-65],194948.507215
160957:1640,953,2545345.20776,[1-953],2445721.98747
160998:1642,251,676964.437786,[2-252],664146.770396
161008:1642,76,191964.869752,[2-77],189333.160363
161016:1642,299,664558.37605,[2-300],653533.011226
161103:1644,99,389802.410271,[2-100],377584.142269
161106:1644,25,93336.876332,[2-26],91909.3032167
161107:1644,28,101228.212265,[2-29],99758.6885271
161113:1644,23,80535.4494339,[2-24],78696.1396874
161116:1644,10,33975.0690297,[2-11],33597.4169542
161117:1644,23,78201.4091265,[2-24],76857.7463938
161119:1644,181,576048.242748,"[1-1], [7-58], [69-108], [115-141], [145-173], [179-210]",548310.086982
161176:1644,31,85206.1683089,[1-31],82054.1922288
161217:1645,717,3494521.44902,[37-753],3455752.05466
161222:1645,97,400164.993349,[1-97],394855.666949
161223:1645,375,1416643.53065,[1-375],1402999.38815
161233:1646,1,5466.83150444,[33-33],3083.4295564
161310:1647,78,445705.486892,[39-116],434204.507782
161311:1647,645,3087492.52632,"[1-554], [559-649]",3064441.70817
161312:1647,1019,3598539.32219,"[1-826], [835-1027]",3582659.95157
162762:1711,102,379652.665523,[1-102],372603.176245
162765:1711,10,36686.0248206,[1-10],33437.7368956
162803:1712,80,440190.170941,[60-139],425755.630243
162808:1712,51,272944.883688,[1-51],263457.266394
162811:1712,338,1683455.43582,[1-338],1656811.12794
162822:1713,235,1221604.19552,[73-307],1200944.60693
162825:1713,184,880634.775335,[1-184],862749.570808
162826:1713,24,108685.775196,[1-24],102591.308325
162828:1713,82,362039.198792,[1-82],355913.343646
162909:1716,229,1829977.68085,[54-282],1804035.57724
163046:1721,229,1628784.20641,"[1-133], [135-230]",1605623.03609
163069:1722,546,3948425.13848,"[73-452], [468-633]",3901561.021
163071:1722,161,1060520.93906,[1-161],1044441.19151
163078:1722,23,144727.935328,[1-23],136474.310578
163232:1727,40,276605.011152,[110-149],268236.017537
163233:1727,283,1843935.52644,[1-283],1816517.85418
163234:1727,66,405144.108115,[1-66],394274.003545
163235:1727,461,2633249.61841,[1-461],2603616.41587
163237:1727,213,1113695.796,[1-213],1099167.7588
163238:1727,5,24950.2254959,[9-13],24712.9100052
163252:1728,78,706449.36748,[60-137],679520.620696
163255:1728,923,7014472.697,"[1-359], [412-844], [846-846], [848-977]",6924043.48286
163261:1728,120,787173.385981,"[1-3], [10-126]",774711.263332
163270:1729,898,8174363.61339,"[1-76], [79-96], [99-475], [479-527], [529-685], [695-915]",8064554.17621
163286:1730,290,1867972.45892,[112-401],1846775.3233
163289:1730,384,2240234.20327,[1-384],2203805.38602
163296:1731,526,5225680.83881,"[59-230], [232-585]",5155444.1435
163297:1731,219,1960407.61527,[1-219],1929081.66658
163300:1731,616,4975817.77377,[1-616],4925580.86081
163301:1731,192,1429887.4591,[1-192],1410561.20309
163302:1731,190,1363426.47517,[1-190],1348186.8555
163332:1732,651,6850450.05498,"[43-118], [224-264], [266-599], [601-639], [641-801]",6679900.76034
163333:1732,106,1005442.36789,[1-106],986116.341113
163334:1732,437,3851226.57704,"[1-35], [37-37], [156-556]",3816085.11036
163337:1732,445,3627435.19546,"[1-18], [27-201], [203-426], [434-461]",3578812.8856
163338:1732,164,1270865.23601,[1-164],1251252.83182
163339:1732,172,1288962.67214,[1-172],1272498.87403
163340:1732,478,3393154.96469,[1-478],3364034.31467
163358:1733,22,225552.481363,[39-60],221752.347667
163369:1735,94,1011909.10308,[1-94],994066.162528
163370:1735,147,1509200.47529,[1-147],1483555.14721
163371:1735,316,2979427.30871,"[1-107], [148-356]",2936289.3696
163372:1735,52,465510.710375,[1-52],456011.862876
163374:1735,860,6799434.66906,"[1-599], [603-863]",6745579.05999
163375:1735,10,69860.1725108,[1-10],65027.5353317
163376:1735,245,1729858.99777,"[1-20], [22-246]",1707555.48064
163378:1735,574,3730059.50603,"[1-81], [89-179], [181-272], [306-615]",3704087.24016
163385:1736,351,3222561.03479,"[52-240], [244-405]",3191620.52259
163387:1736,253,2095720.77948,[1-253],2074192.30107
163402:1737,722,7012776.85084,"[37-250], [271-560], [581-582], [586-801]",6938326.81413
163475:1739,266,3007523.84702,[30-295],2820991.1734
163476:1739,209,2183830.72275,"[1-94], [98-212]",2062089.87554
163478:1739,70,683152.302235,[1-70],467068.019866
163479:1739,175,1716851.341,[1-175],1693657.73201
163480:1739,186,1737062.54813,"[1-92], [96-188], [190-190]",1697349.46389
163481:1739,77,703063.837984,"[1-72], [74-77], [79-79]",655204.705359
163482:1739,28,251516.243097,"[1-27], [48-48]",235314.810822
163483:1739,44,382928.030458,[1-44],374430.733506
163582:1743,21,327614.755452,[1-21],253676.835312
163583:1743,198,2982552.766,"[1-10], [12-63], [65-92], [96-155], [157-173], [175-205]",2844141.99374
163584:1743,56,802165.428492,[1-56],764121.622519
163585:1743,32,445572.890884,[1-32],430371.325636
163586:1743,75,1044653.4197,[1-75],1024418.85546
163587:1743,52,712087.674523,[1-52],696138.986012
163588:1743,445,5685229.54094,"[1-8], [10-446]",5610277.66214
163589:1743,159,1895848.11587,"[1-49], [51-160]",1874955.86771
163596:1743,25,274584.253109,[1-25],262867.411529
163630:1744,97,1295711.0126,"[76-164], [176-183]",1263992.91403
163655:1745,9,145189.036964,[15-23],132938.779986
163657:1745,140,2159486.25063,[1-140],2107517.96759
163658:1745,3,43767.9224852,[1-3],6302.09786178
163659:1745,703,9525736.06316,"[1-374], [376-650], [652-705]",9344119.16196
163660:1745,74,910374.130759,[1-74],737719.123852
163661:1745,17,207295.787144,[1-17],110419.051447
163662:1745,154,1826147.69368,[1-154],1794856.09155
163663:1745,244,2750486.9078,"[1-106], [109-246]",2632465.86029
163664:1745,177,1913193.22663,"[1-119], [121-178]",1856220.56284
163668:1745,207,2072171.35558,"[1-53], [57-136], [140-213]",2031970.2871
163738:1748,266,4089294.09338,[34-299],4038527.22799
163757:1749,40,594946.830219,[1-40],568286.859405
163758:1749,569,7728063.32364,"[1-17], [19-220], [222-224], [236-276], [283-374], [376-466], [468-590]",7360268.86628
163759:1749,485,5838697.22885,"[1-60], [62-72], [74-456], [458-461], [463-482], [504-510]",5731772.29318
163760:1749,338,3721740.19069,"[1-162], [165-340]",3651921.93912
163761:1749,203,2096530.30819,[1-203],2074982.21749
163763:1749,79,792934.329492,[1-79],780997.729491
163765:1749,308,2993692.37435,[1-308],2948165.28927
163795:1753,32,541778.349685,"[10-34], [36-36], [38-43]",451126.318911
